Feature,Importance
sqft_living,0.4206956019407794
yr_built,0.1693844971381093
sqft_lot,0.11337844473596163
sqft_above,0.10165277142136213
bathrooms,0.05671530462093436
sqft_basement,0.03897941989574948
condition,0.03252268057228432
bedrooms,0.020159672918744646
view,0.019875307631743944
yr_renovated,0.015556142352510249
floors,0.007611827205512988
waterfront,0.0034683295663075365
